FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY sub-TYPOLOGY,FOOD COMMODITY ITEM,carbon_mean,carbon_median,carbon_min,carbon_max,carbon_suggested_value,water_mean,water_median,water_min,water_max,water_suggested_value
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUBTYP)",PEAR,0.29,0.27,0.16,0.63,ITEM,922,922,922,922,ok item
AGRICULTURAL PROCESSED,FRUIT JUICE LOCAL,,PEAR JUICE,0.49,0.49,0.46,0.52,TYPOLOGY,,,,,
ANIMAL HUSBANDRY,CHEESE HARD & SEMIHARD,,PECORINO,18.85,17.15,17.14,22.27,TYPOLOGY,,,,,
CROPS,VEGETABLES OPENFIELD,"VEGETABLES (fruits, steems, flowers) (SUBTYP)",PEPPER,0.58,0.65,0.19,0.87,ITEM,379,379,379,379,ok item
AGRICULTURAL PROCESSED,PESTO,,PESTO,2.71,2.71,2.6,2.83,TYPOLOGY,2099,2099,2099,2099,typology
AGRICULTURAL PROCESSED,PESTO,,PESTO WITHOUT GARLIC,2.72,2.72,2.72,2.72,TYPOLOGY,2249,2249,2249,2249,typology
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUBTYP)",PINEAPPLE,0.34,0.28,0.23,0.67,ITEM or TYPOLOGY,255,255,255,255,ok item
AGRICULTURAL PROCESSED,FRUIT JUICE (imported ingredients),,PINEAPPLE JUICE (I),2.78,2.78,2.72,2.84,TYPOLOGY,,,,,
CROPS,NUTS,,PISTACHIO,1.6,1.6,0.88,2.33,ITEM,11363,11363,11363,11363,ok item
FISHING,FISH,,PLAICE,6.13,6.13,6.13,6.13,TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,CRACKERS,,PLAIN CRACKERS**,1.24,1.35,0.97,1.45,ITEM,1488,1448,1183,1933,ok item
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUBTYP)",PLUM,0.27,0.26,0.23,0.32,TYPOLOGY,2180,2180,2180,2180,ok item
FISHING,FISH,,POLLOCK,1.4,1.4,1.2,1.6,TYPOLOGY,,,,,
